"UNCN_NM_UNID_CRONO";"UNCN_NM_UNID_CRONO_ING";"UNCN_NM_UNID_GEOCRN";"UNCN_NM_GEOCRN_ING"
"PERMIANO INFERIOR";"";"";""
"PERMIANO SUPERIOR";"";"";""
"SILURIANO INFERIOR";"";"";""
"SILURIANO SUPERIOR";"";"";""
"ARENIG";"";"";""
"ASHGILL";"";"";""
"AUTUNIANO";"";"";""
"CARADOC";"";"";""
"CRETACEO MEDIO";"";"";""
"DESMOINESIANO INFERIOR";"";"";""
"DESMOINESIANO SUPERIOR";"";"";""
"LLANDEILO";"";"";""
"LLANVIRN";"";"";""
"ROTLIEGENDES";"";"";""
"ZECHSTEIN";"";"";""
"ATOKANO INFERIOR";"";"";""
"ATOKANO MEDIO";"";"";""
"ATOKANO SUPERIOR";"";"";""
"GALICO";"";"";""
"MORROWANO INFERIOR";"";"";""
"MORROWANO SUPERIOR";"";"";""
"MOSCOVIANO INFERIOR";"";"";""
"MOSCOVIANO SUPERIOR";"";"";""
"OLIGOCENO MEDIO";"";"";""
"TOURNAISIANO INFERIOR";"";"";""
"TOURNAISIANO MEDIO";"";"";""
"TOURNAISIANO SUPERIOR";"";"";""
"VISEANO INFERIOR";"";"";""
"VISEANO MEDIO";"";"";""
"VISEANO SUPERIOR";"";"";""
"AUTUNIANO INFERIOR";"";"";""
"AUTUNIANO SUPERIOR";"";"";""
"CAUTLEYANO";"";"";""
"KAZANIANO";"";"";""
"NAMURIANO A";"";"";""
"NAMURIANO B";"";"";""
"NAMURIANO C";"";"";""
"PUSGILLIANO";"";"";""
"RAWTHEYANO";"";"";""
"STEPHANIANO D";"";"";""
"TATARIANO";"";"";""
"UFIMIANO";"";"";""
"WOLFCAMPIANO";"";"";""
"Frasniano Inferior";"Lower Frasnian";"Eofrasniano";"Early Frasnian"
"Frasniano Médio";"Middle Frasnian";"Mesofrasniano";"Middle Frasnian"
"Frasniano Superior";"Upper Frasnian";"Neofrasniano";"Late Frasnian"
"MAASTRICHTIANO MEDIO";"";"";""
"VRACONIANO";"";"";""
"Tournaisiano E";"";"Tournaisiano E";""
"Cordevoliano";"Cordevolian";"Cordevoliano";"Cordevolian"
"Givetiano Superior";"Upper Givetian";"Neogivetiano";"Late Givetian"
"Givetiano Médio";"Middle Givetian";"Mesogivetiano";"Middle Givetian"
"Givetiano Inferior";"Lower Givetian";"Eogivetiano";"Early Givetian"
"Coniaciano Superior";"Upper Coniacian";"Neoconiaciano";"Late Coniacian"
"Guzhangiano";"Guzhangian";"Guzhangiano";"Guzhangian"
"Jurássico Inferior";"Lower Jurassic";"Eojurássico";"Early Jurassic"
"Kasimoviano";"Kasimovian";"Kasimoviano";"Kasimovian"
"Olenekiano";"Olenekian";"Olenekiano";"Olenekian"
"Paleoarqueano";"Paleoarchean";"Paleoarqueano";"Paleoarchean"
"Quaternário";"Quaternary";"Quaternário";"Quaternary"
"Terreneuviano";"Terreneuvian";"Terreneuviano";"Terreneuvian"
"Neogeno";"Neogene";"Neogeno";"Neogene"
"Hauteriviano";"Hauterivian";"Hauteriviano";"Hauterivian"
"Pliensbachiano";"Pliensbachian";"Pliensbachiano";"Pliensbachian"
"Triássico Superior";"Upper Triassic";"Neotriássico";"Late Triassic"
"Frasniano";"Frasnian";"Frasniano";"Frasnian"
"Série 3";"Serie 3";"Época 3";"Epoch 3"
