Fm. Divisor;Formação Divisor
Fm. Santos;Formação Santos
Gr. Perucaba;Grupo Perucaba
Mb. Itacaré;Membro Itacaré
Mb. Sapucari;Membro Sapucari
Fm. Arpoador;Formação Arpoador
Fm. Cotinguiba;Formação Cotinguiba
Gr. Jangada;Grupo Jangada
Mb. Ponte Alta;Membro Ponte Alta
Mb. Maruim;Membro Maruim
Fm. Traíras;Formação Traíras
Fm. Açu;Formação Açu
Mb. Tauá;Membro Tauá
Fm. Irati;Formação Irati
Fm. Regência;Formação Regência
Mb. Boipeba;Membro Boipeba
Fm. Caravelas;Formação Caravelas
Gr. Santo Amaro;Grupo Santo Amaro
Gr. Frade;Grupo Frade
Fm. Limoeiro;Formação Limoeiro
Mb. Fazendinha;Membro Fazendinha
Fm. Resende;Formação Resende
Gr. Urupadi;Grupo Urupadi
Fm. Campo Mourão;Formação Campo Mourão
Fm. Batinga;Formação Batinga
Fm. Itapecuru;Formação Itapecuru
Fm. Urucutuca;Formação Urucutuca
Fm. Jequitaí;Formação Jequitaí
Fm. Morro do Barro;Formação Morro do Barro
Fm. Fortuna;Formação Fortuna
Fm. São Mateus;Formação São Mateus
Fm. Jaicós;Formação Jaicós
Fm. Mazargão;Formação Mazargão
Fm. Bauxi;Formação Bauxi
Fm. Areinhas;Formação Areinhas
Fm. Moa;Formação Moa
Fm. São José do Rio Preto;Formação São José do Rio Preto
Fm. Acari;Formação Acari
Mb. Jiribatuba;Membro Jiribatuba
Gr. Aguapeí;Grupo Aguapeí
Mb. Arari;Membro Arari
Fm. Bragança;Formação Bragança
Fm. Cacoal;Formação Cacoal
Fm. Rio Paraná;Formação Rio Paraná
Gr. Santa Helena;Grupo Santa Helena
Fm. Camboriú;Formação Camboriú
Fm. Ponta do Mel;Formação Ponta do Mel
Fm. Santana;Formação Santana
Mb. Cuiabá Paulista;Membro Cuiabá Paulista
Fm. Pirara;Formação Pirara
Fm. Aquidauana;Formação Aquidauana
Gr. Guatá;Grupo Guatá
Fm. Serra de Santa Helena;Formação Serra de Santa Helena
Fm. Tombador;Formação Tombador
Fm. Alter do Chão;Formação Alter do Chão
Fm. Viramundo;Formação Viramundo
Fm. Marizal;Formação Marizal
Fm. Pojuca;Formação Pojuca
Mb. Itapagé;Membro Itapagé
Mb. São Domingos;Membro São Domingos
Fm. Ribeirão da Folha;Formação Ribeirão da Folha
Mb. Catu;Membro Catu
Fm. Ubatuba;Formação Ubatuba
Fm. Motuca;Formação Motuca
Fm. Serra do Catuni;Formação Serra do Catuni
Fm. Itaim;Formação Itaim
Fm. Piçarras;Formação Piçarras
Gr. Rio Ivaí;Grupo Rio Ivaí
Gr. Caiuá;Grupo Caiuá
Fm. Rio Bonito;Formação Rio Bonito
Fm. Afligidos;Formação Afligidos
Fm. Mundaú;Formação Mundaú
Fm. Duas Barras;Formação Duas Barras
Fm. Breves;Formação Breves
Fm. Diamantino;Formação Diamantino
Fm. Tabuleiro;Formação Tabuleiro
Mb. Canto do Amaro;Membro Canto do Amaro
Gr. Jaquirana;Grupo Jaquirana
Fm. Abaiara;Formação Abaiara
Gr. Camamu;Grupo Camamu
Fm. Três Marias;Formação Três Marias
Fm. Retiro;Formação Retiro
Fm. Quiricó;Formação Quiricó
Fm. Santa Brígida;Formação Santa Brígida
Fm. Vila Maria;Formação Vila Maria
Fm. Cachoeirinha;Formação Cachoeirinha
Fm. Longá;Formação Longá
Fm. Pedra de Fogo;Formação Pedra de Fogo
Gr. Mearim;Grupo Mearim
Gr. Coruripe;Grupo Coruripe
Fm. Cruzeiro do Sul;Formação Cruzeiro do Sul
Fm. Capelinha;Formação Capelinha
Fm. Ponta Verde;Formação Ponta Verde
Gr. Chapada Diamantina;Grupo Chapada Diamantina
Fm. Curiri;Formação Curiri
Fm. Emborê;Formação Emborê
Gr. Paranoá;Grupo Paranoá
Fm. Borrachudo;Formação Borrachudo
Fm. Tacaratu;Formação Tacaratu
Fm. Jutaí;Formação Jutaí
Fm. Sete Lagoas;Formação Sete Lagoas
Gr. Urucuia;Grupo Urucuia
Fm. Pendência;Formação Pendência
Fm. Oriximiná;Formação Oriximiná
Fm. Tucunaré;Formação Tucunaré
Gr. Camburi;Grupo Camburi
Gr. Trombetas;Grupo Trombetas
Mb. Jaraqui;Membro Jaraqui
Mb. Serrinha;Membro Serrinha
Fm. Tapirapuã;Formação Tapirapuã
Fm. Araçatuba;Formação Araçatuba
Fm. Xaraiés;Formação Xaraiés
Fm. Dardanelos;Formação Dardanelos
Gr. Cumuruxatiba;Grupo Cumuruxatiba
Fm. Três Barras;Formação Três Barras
Gr. Apodi;Grupo Apodi
Mb. Angico;Membro Angico
Fm. Jacarezinho;Formação Jacarezinho
Mb. Echaporã;Membro Echaporã
Fm. Taquipe;Formação Taquipe
Fm. Solimões;Formação Solimões
Fm. Itanhaém;Formação Itanhaém
Fm. Juréia;Formação Juréia
Gr. Sergipe;Grupo Sergipe
Fm. Serra da Meia Noite;Formação Serra da Meia Noite
Fm. Vale da Promissão;Formação Vale da Promissão
Mb. Santiago;Membro Santiago
Fm. Canatiba;Formação Canatiba
Fm. Aliança;Formação Aliança
Fm. Serra Almécegas;Formação Serra Almécegas
Mb. Cristóvão;Membro Cristóvão
Fm. João Dias;Formação João Dias
Fm. Maracangalha;Formação Maracangalha
Fm. Pilões;Formação Pilões
Mb. Germânia;Membro Germânia
Fm. Serra Azul;Formação Serra Azul
Fm. Beberibe;Formação Beberibe
Fm. Uberaba;Formação Uberaba
Fm. Taipus-Mirim;Formação Taipus-Mirim
Fm. Cabeças;Formação Cabeças
Fm. Serra da Saudade;Formação Serra da Saudade
Fm. Araripina;Formação Araripina
Embasamento
